"event_id","route","R0","k","outcome","chain_size","hub_infections","generations","peak_infected","at_hub","spill_lat","spill_lon","hub_id","hub_dist_km","travel_time","n_swath_cells","n_hub_cells","mortality_sub_pandemic","pandora_handoff"
212,"single_case",0,0.62152419196158,"single_case",1,0,0,1,FALSE,2.45833333333336,32.5416666666666,9,33.3301026372355,66.2900009155273,36,13,0.01,FALSE
213,"single_case",0,1.13046022791423,"single_case",1,0,0,1,FALSE,0.375000000000028,33.5416666666666,16,13.0813353609835,57.9300003051758,55,39,0.01,FALSE
214,"single_case",0,2.2122114926159,"single_case",1,0,0,1,TRUE,2.04166666666669,33.7083333333333,11,0,15.7700004577637,NA,NA,0.01,FALSE
215,"single_case",0,0.406933683261788,"single_case",1,0,0,1,FALSE,0.541666666666695,30.6249999999999,20,33.3503174985581,71.6800003051758,35,8,0.01,FALSE
216,"spatial",2.63079385488047,1.84840017061003,"hub_established",1175,523,11,476,FALSE,0.291666666666695,31.2083333333333,22,20.6835751934665,85.4499969482422,29,7,NA,TRUE
217,"single_case",0,0.400923576938288,"single_case",1,0,0,1,FALSE,3.54166666666669,34.0416666666666,3,26.1379790410559,70.8499984741211,40,6,0.01,FALSE
218,"single_case",0,1.4322169138256,"single_case",1,0,0,1,TRUE,3.04166666666669,30.7916666666666,4,0,27.4200000762939,NA,NA,0.01,FALSE
219,"single_case",0,1.07446932438086,"single_case",1,0,0,1,FALSE,1.87500000000003,32.7916666666666,9,27.75,98.120002746582,43,13,0.01,FALSE
220,"nonspatial_sub",0.1114291458996,1.08733491065481,"extinct",2,0,2,1,FALSE,2.62500000000003,30.8749999999999,4,20.679289870733,70.0899963378906,30,14,0.02,FALSE
221,"single_case",0,1.58356841629374,"single_case",1,0,0,1,FALSE,1.87500000000003,34.9583333333333,12,87.7109204537492,184.940002441406,53,5,0.01,FALSE
222,"single_case",0,0.794067209806328,"single_case",1,0,0,1,FALSE,0.375000000000028,31.2916666666666,22,9.25000000000002,51,31,7,0.01,FALSE
223,"single_case",0,0.370304855131558,"single_case",1,0,0,1,FALSE,0.291666666666695,33.1249999999999,16,9.24988014969794,38.7599983215332,47,35,0.01,FALSE
224,"spatial",1.18600644921526,0.912345802322781,"extinct",1,0,1,1,FALSE,-0.0416666666666385,30.7916666666666,27,56.2655530031502,126.589996337891,51,11,0.01,FALSE
225,"single_case",0,0.432687616383742,"single_case",1,0,0,1,FALSE,1.70833333333336,33.9583333333333,11,27.7376660897776,69.0800018310547,53,23,0.01,FALSE
